Brand,Description,Size,Classification,VendorNo,n_store_skus,beg_onhand,end_onhand,units_sold,units_purchased,sales_revenue,gross_profit,unit_cost,unit_sell,sales_span_days,gross_margin_pct,daily_demand,days_of_supply,needs_reorder,discontinue_candidate,profitable
104.0,Mr Boston Wild Cherry Brandy,Liter,1.0,660.0,7,66.0,53.0,19.0,144.0,167.01,45.02999999999999,6.42,8.79,60.0,26.962457337883954,0.31666666666666665,167.3684210526316,0,0,1
105.0,Mr Boston Butterscotch,Liter,1.0,660.0,2,10.0,9.0,1.0,0.0,4.49,1.1400000000000001,3.35,4.49,60.0,25.38975501113586,0.016666666666666666,540.0,0,1,1
106.0,Mr Boston Peach Schnapps,Liter,1.0,660.0,8,128.0,87.0,141.0,753.0,633.09,153.69000000000003,3.4,4.49,60.0,24.27616926503341,2.35,37.02127659574468,0,0,1
108.0,Mr Boston Peppermint Schnaps,Liter,1.0,660.0,2,23.0,5.0,13.0,35.0,84.37,22.36000000000001,4.77,6.49,60.0,26.502311248073973,0.21666666666666667,23.076923076923077,0,0,1
109.0,Mr Boston Blue Curacao,Liter,1.0,660.0,5,28.0,37.0,29.0,354.0,188.21,44.65999999999999,4.95,6.49,60.0,23.728813559322028,0.48333333333333334,76.55172413793103,0,0,1
110.0,Mr Boston Creme de Menthe-Wh,Liter,,,1,3.0,0.0,0.0,6.0,0.0,0.0,4.84,6.49,60.0,,0.0,,0,0,0
111.0,Mr Boston Creme de Menthe Gr,Liter,1.0,660.0,6,40.0,34.0,13.0,149.0,84.37,23.269999999999996,4.7,6.489999999999999,60.0,27.58089368258859,0.21666666666666667,156.9230769230769,0,0,1
112.0,Mr Boston Cr de Cacao White,Liter,1.0,660.0,4,31.0,33.0,23.0,127.0,149.27,41.16999999999998,4.7,6.49,60.0,27.58089368258858,0.38333333333333336,86.08695652173913,0,0,1
113.0,Mr Boston Cr de Cacao Brown,Liter,1.0,660.0,6,53.0,17.0,16.0,99.0,103.84,26.400000000000006,4.84,6.489999999999999,60.0,25.423728813559325,0.26666666666666666,63.75,0,0,1
114.0,Mr Boston Creme de Banana,Liter,1.0,660.0,6,81.0,55.0,24.0,258.0,155.76000000000002,33.120000000000005,5.11,6.489999999999999,60.0,21.263482280431433,0.4,137.5,0,0,1
115.0,Belvedere Vodka,Liter,1.0,8112.0,42,662.0,1470.0,623.0,10943.0,17437.77,4124.259999999998,21.37,27.99,60.0,23.651304037156116,10.383333333333333,141.57303370786516,0,0,1
116.0,Voli Lyte French Vodka,750mL,1.0,6830.0,2,9.0,0.0,9.0,0.0,134.91,30.33,11.62,14.99,60.0,22.48165443629086,0.15,0.0,1,0,1
117.0,Vermont Gold Vodka,750mL,1.0,9165.0,28,17.0,0.0,13.0,0.0,454.87,93.86,27.77,34.99,60.0,20.634466990568733,0.21666666666666667,0.0,1,0,1
120.0,Tarantula Azul Tequila Gift,750mL,1.0,5992.0,12,88.0,26.0,30.0,97.0,419.7,106.50000000000001,10.44,13.99,60.0,25.375268048606152,0.5,52.0,0,0,1
122.0,DeKuyper Mixed Berry Medley,750mL,1.0,12546.0,1,22.0,0.0,4.0,0.0,43.96,12.120000000000001,7.96,10.99,60.0,27.5705186533212,0.06666666666666667,0.0,1,0,1
123.0,Van Winkle Special Rsv 10 Yr,750mL,1.0,8004.0,1,2.0,1.0,2.0,7.0,99.98,22.480000000000004,38.75,49.99,60.0,22.48449689937988,0.03333333333333333,30.0,0,0,1
126.0,Grey Goose Vodka,Liter,1.0,480.0,59,2599.0,4389.0,1968.0,57285.0,63796.32,24160.8,20.14,32.65510402478791,60.0,37.87177693007998,32.8,133.8109756097561,0,0,1
128.0,Grey Goose Le Citron Vodka,Liter,,,2,5.0,5.0,0.0,4.0,0.0,0.0,24.42,31.99,60.0,,0.0,,0,1,0
129.0,Grey Goose L'Orange Vodka,Liter,1.0,480.0,3,10.0,5.0,1.0,4.0,31.99,7.0,24.99,31.99,60.0,21.88183807439825,0.016666666666666666,300.0,0,1,1
140.0,DeKuyper Strawberry Pucker,750mL,,,1,24.0,0.0,0.0,24.0,0.0,0.0,7.85,10.99,60.0,,0.0,,0,0,0
142.0,Vermont White Vodka,750mL,,,2,7.0,0.0,0.0,0.0,0.0,0.0,23.07,29.99,60.0,,0.0,,0,0,0
143.0,Chivas Regal,Liter,1.0,17035.0,2,13.0,9.0,1.0,0.0,38.99,9.400000000000002,29.59,38.49,60.0,24.108745832264688,0.016666666666666666,540.0,0,1,1
148.0,Smirnoff Green Apple Vodka,Liter,1.0,3960.0,2,12.0,8.0,1.0,0.0,14.49,3.99,10.5,14.49,60.0,27.536231884057973,0.016666666666666666,480.0,0,1,1
150.0,Smirnoff Strawberry Vodka,Liter,1.0,3960.0,1,10.0,9.0,1.0,0.0,14.49,3.6799999999999997,10.81,14.49,60.0,25.396825396825395,0.016666666666666666,540.0,0,1,1
151.0,Pirassununga Cachaca 51 Rum,Liter,1.0,8004.0,1,3.0,13.0,1.0,48.0,15.99,4.49,11.5,15.99,60.0,28.080050031269543,0.016666666666666666,780.0,0,1,1
159.0,Glenmorangie Original VAP,750mL + 2/,1.0,8112.0,35,573.0,22.0,131.0,427.0,5402.6900000000005,1736.0000000000005,27.99,39.92943722943723,60.0,32.13214158132338,2.183333333333333,10.076335877862597,1,0,1
161.0,DeKuyper Pineapple,Liter,1.0,12546.0,3,29.0,22.0,8.0,72.0,103.92,29.680000000000007,9.28,12.99,60.0,28.560431100846813,0.13333333333333333,165.0,0,0,1
162.0,Stolichnaya Vanil,Liter,1.0,8664.0,19,178.0,165.0,98.0,790.0,2413.02,610.7999999999998,18.39,24.293508771929822,60.0,25.31267871795509,1.6333333333333333,101.0204081632653,0,0,1
165.0,Gentleman Jack Gift Pack,750mL,1.0,1128.0,38,20.0,0.0,7.0,560.0,209.92999999999998,68.94999999999999,20.14,27.226842105263156,60.0,32.84428142714238,0.11666666666666667,0.0,1,0,1
167.0,Jim Beam Black VAP,750mL,,,1,3.0,0.0,0.0,0.0,0.0,0.0,19.99,24.99,60.0,,0.0,,0,0,0
168.0,Three Olives Strawberry,750mL,1.0,7245.0,33,473.0,677.0,264.0,2761.0,3165.36,802.5600000000002,8.95,12.111212121212121,60.0,25.354462051709763,4.4,153.86363636363635,0,0,1
171.0,Gentleman Jack,1.75L,1.0,1128.0,78,891.0,957.0,510.0,6634.0,25694.9,6947.300000000001,36.76,50.269943880905416,60.0,27.037661170115474,8.5,112.58823529411765,0,0,1
172.0,Wild Turkey 101 Gift Pak,750mL,1.0,11567.0,1,3.0,0.0,1.0,0.0,23.99,6.399999999999999,17.59,23.99,60.0,26.67778240933722,0.016666666666666666,0.0,1,0,1
173.0,Hornitos Reposado Glass Pack,750mL,1.0,12546.0,7,42.0,0.0,29.0,387.0,604.7099999999999,178.40999999999997,14.7,20.814175824175823,60.0,29.503398323163164,0.48333333333333334,0.0,1,0,1
174.0,Sauza Silver VAP,750mL,1.0,12546.0,2,3.0,0.0,3.0,0.0,44.97,16.740000000000002,9.41,14.99,60.0,37.224816544362916,0.05,0.0,1,0,1
175.0,1800 Anejo Tequila,750mL,1.0,7245.0,33,215.0,208.0,72.0,705.0,3023.28,1093.68,26.8,40.32333333333334,60.0,36.175279828530606,1.2,173.33333333333334,0,0,1
178.0,Wild Turkey Russell's RSV,750mL,1.0,11567.0,68,766.0,481.0,149.0,2196.0,4346.51,1253.2699999999995,20.76,29.446057422969186,60.0,28.83393803304259,2.4833333333333334,193.69127516778522,0,1,1
181.0,J & B Scotch,Liter,,,1,4.0,4.0,0.0,6.0,0.0,0.0,18.65,24.99,60.0,,0.0,,0,1,0
184.0,Hornitos Plata Glass Pack,750mL,1.0,12546.0,9,63.0,0.0,50.0,308.0,1199.5,547.5,13.04,23.878888888888888,60.0,45.64401834097541,0.8333333333333334,0.0,1,0,1
187.0,Capt Morgan ParrotBay Pineap,Liter,1.0,3960.0,1,0.0,0.0,12.0,12.0,179.88,41.52000000000001,11.53,14.99,60.0,23.08205470313543,0.2,0.0,1,0,1
188.0,Capt Morgan Parrot Bay Mango,Liter,1.0,3960.0,1,0.0,0.0,12.0,60.0,179.88,45.599999999999994,11.19,14.99,60.0,25.350233488992657,0.2,0.0,1,0,1
189.0,Leroux Apple Schnapps,Liter,1.0,12546.0,1,0.0,0.0,2.0,2.0,14.98,3.460000000000001,5.76,7.49,60.0,23.097463284379177,0.03333333333333333,0.0,1,0,1
190.0,Christian Bros Ruby Port,750mL,1.0,3924.0,4,19.0,0.0,96.0,96.0,411.84,118.08,3.06,4.29,60.0,28.671328671328673,1.6,0.0,1,0,1
192.0,Milagro Anejo Tequila,750mL,1.0,3664.0,46,259.0,233.0,66.0,1309.0,2528.34,701.4600000000002,27.68,37.17913043478261,60.0,27.743895203967828,1.1,211.8181818181818,0,1,1
194.0,Yazi Ginger Vodka,750mL,1.0,3950.0,2,9.0,1.0,3.0,13.0,89.97,22.319999999999993,22.55,29.99,60.0,24.80826942314104,0.05,20.0,0,0,1
199.0,Wisdom & Warter Cream Sherry,750mL,1.0,516.0,2,4.0,0.0,7.0,12.0,34.93,7.8400000000000025,3.87,4.99,60.0,22.444889779559126,0.11666666666666667,0.0,1,0,1
200.0,Luxardo Maraschino Liqueur,750mL,1.0,9165.0,13,47.0,73.0,38.0,434.0,1139.62,249.28000000000006,23.43,29.990000000000002,60.0,21.873957985995336,0.6333333333333333,115.26315789473685,0,0,1
201.0,Nassua Royale Liqueur,Liter,1.0,480.0,1,2.0,0.0,2.0,0.0,38.98,8.039999999999996,15.47,19.49,60.0,20.625962031811177,0.03333333333333333,0.0,1,0,1
202.0,Ketel One Citroen Vodka,Liter,1.0,3960.0,7,88.0,30.0,20.0,108.0,579.8,133.79999999999993,22.3,28.99,60.0,23.076923076923066,0.3333333333333333,90.0,0,0,1
203.0,Jose Cuervo Especial Silver,Liter,,,1,3.0,4.0,0.0,3.0,0.0,0.0,15.78,20.99,60.0,,0.0,,0,1,0
204.0,Smirnoff Pineapple,Liter,1.0,3960.0,3,6.0,9.0,1.0,12.0,14.49,3.8900000000000006,10.6,14.156666666666666,60.0,26.846100759144242,0.016666666666666666,540.0,0,1,1
207.0,Smirnoff Pomegrante,Liter,1.0,3960.0,2,14.0,5.0,3.0,6.0,43.47,8.969999999999999,11.5,14.49,60.0,20.634920634920633,0.05,100.0,0,0,1
211.0,Cold River Gin,750mL,1.0,4425.0,72,497.0,514.0,126.0,2500.0,3772.74,1274.16,19.83,27.819166666666664,60.0,33.77280173030742,2.1,244.76190476190476,0,1,1
213.0,Stolichnaya Blueberi,Liter,1.0,8664.0,14,134.0,105.0,64.0,936.0,1581.36,491.4399999999998,17.03,24.118571428571425,60.0,31.077047604593506,1.0666666666666667,98.4375,0,0,1
216.0,Absolut Raspberri,Liter,1.0,17035.0,1,6.0,17.0,18.0,75.0,393.82,112.66000000000003,15.62,21.49,60.0,28.60697780712001,0.3,56.66666666666667,0,0,1
217.0,Absolut Vanilia,Liter,1.0,17035.0,6,51.0,45.0,40.0,279.0,875.6,287.59999999999997,14.699999999999998,21.804814814814815,60.0,32.846048423937866,0.6666666666666666,67.5,0,0,1
222.0,Wray & Nephew Wh Overproof,750mL,1.0,11567.0,2,4.0,8.0,2.0,24.0,39.98,7.9999999999999964,15.99,19.99,60.0,20.010005002501245,0.03333333333333333,240.0,0,1,1
226.0,DeKuyper Red Apple Schnapps,750mL,1.0,12546.0,7,36.0,47.0,12.0,166.0,131.88,34.92,8.08,10.99,60.0,26.4786169244768,0.2,235.0,0,1,1
229.0,Sauza Gold VAP,750mL,1.0,12546.0,2,12.0,0.0,6.0,0.0,89.94,27.599999999999994,10.39,13.99,60.0,30.687124749833217,0.1,0.0,1,0,1
233.0,Tullamore Dew 12 Yr Old,750mL,1.0,3664.0,43,346.0,294.0,64.0,1000.0,2934.36,1000.9200000000001,30.21,46.48806201550388,60.0,34.110334110334115,1.0666666666666667,275.625,0,1,1
236.0,Loukatos Mastic Liqueur,750mL,,,2,25.0,10.0,0.0,12.0,0.0,0.0,13.23,17.99,60.0,,0.0,,0,1,0
240.0,Capt Morgan Tattoo,Liter,1.0,3960.0,4,18.0,20.0,9.0,65.0,188.91,54.0,14.99,20.99,60.0,28.585040495474033,0.15,133.33333333333334,0,0,1
244.0,Ketel One Oranje,Liter,1.0,3960.0,2,5.0,0.0,3.0,0.0,86.97,19.02000000000001,22.65,28.99,60.0,21.8696102104174,0.05,0.0,1,0,1
247.0,Gran Patron Platinum Tequil,750mL,1.0,9165.0,15,34.0,57.0,8.0,147.0,1679.92,430.0,156.24000000000004,203.32333333333335,60.0,25.596456974141624,0.13333333333333333,427.5,0,1,1
248.0,Wild Shot Reposado Mezcal,750mL,1.0,8320.0,2,3.0,1.0,1.0,6.0,49.99,10.630000000000003,39.36,49.99,60.0,21.264252850570116,0.016666666666666666,60.0,0,0,1
249.0,Massenez Creme de Cassis,750mL,1.0,9552.0,5,27.0,15.0,6.0,49.0,131.94,34.199999999999996,16.29,21.99,60.0,25.920873124147338,0.1,150.0,0,0,1
253.0,Poland Spring Vodka,Liter,1.0,9552.0,9,166.0,137.0,479.0,3086.0,2773.41,570.0100000000001,4.6,5.79,60.0,20.55267702936097,7.983333333333333,17.160751565762006,0,0,1
254.0,DeKuyper Root Beer Schnapps,Liter,1.0,12546.0,27,158.0,148.0,49.0,382.0,538.51,107.80000000000004,8.79,10.99,60.0,20.018198362147416,0.8166666666666667,181.22448979591837,0,1,1
258.0,Ciroc Coconut Vodka,Liter,1.0,3960.0,2,27.0,21.0,7.0,3.0,237.93,67.97,24.28,33.99,60.0,28.567225654604293,0.11666666666666667,180.0,0,0,1
261.0,Svedka Citron Vodka,Liter,1.0,1392.0,12,95.0,98.0,12.0,322.0,155.88,35.99999999999999,9.99,12.99,60.0,23.094688221709003,0.2,490.0,0,1,1
262.0,Don Q Cristal Rum,Liter,,,1,3.0,0.0,0.0,0.0,0.0,0.0,9.37,11.99,60.0,,0.0,,0,0,0
266.0,Don Q Mojito Rum,Liter,,,1,7.0,0.0,0.0,0.0,0.0,0.0,10.23,12.99,60.0,,0.0,,0,0,0
267.0,Don Q Coco Coconut Rum,Liter,,,1,4.0,0.0,0.0,0.0,0.0,0.0,10.39,12.99,60.0,,0.0,,0,0,0
269.0,Juarez Triple Sec,Liter,1.0,8352.0,8,150.0,118.0,238.0,1652.0,949.62,195.16000000000005,3.17,3.99,60.0,20.551378446115294,3.966666666666667,29.747899159663863,0,0,1
272.0,Juarez Silver Tequila,Liter,1.0,8352.0,6,94.0,90.0,135.0,1001.0,1348.65,349.65,7.400000000000001,9.99,60.0,25.925925925925924,2.25,40.0,0,0,1
273.0,Sauza Extra Gold Tequila,1.75L,1.0,12546.0,78,2129.0,3949.0,612.0,12241.0,14088.88,3495.16,17.31,22.9704585874156,60.0,24.8079336327657,10.2,387.15686274509807,0,1,1
274.0,Old Bushmills,Liter,1.0,7245.0,2,9.0,5.0,11.0,53.0,285.89,81.73,18.56,25.99,60.0,28.58791843016545,0.18333333333333332,27.272727272727273,0,0,1
276.0,Bushmills Black Bush,Liter,1.0,7245.0,2,14.0,19.0,10.0,19.0,369.9,101.89999999999999,26.8,36.99,60.0,27.547985942146525,0.16666666666666666,114.0,0,0,1
277.0,Smirnoff Lime Vodka,Liter,,,2,8.0,6.0,0.0,0.0,0.0,0.0,11.1,13.99,60.0,,0.0,,0,1,0
278.0,Cazadores Reposado Tequila,Liter,1.0,480.0,1,4.0,15.0,4.0,80.0,115.96,28.11999999999999,21.96,28.99,60.0,24.249741290100026,0.06666666666666667,225.0,0,1,1
281.0,Kamora Coffee Gift Pack,750mL,1.0,12546.0,20,110.0,47.0,45.0,278.0,450.55,129.25000000000003,7.139999999999999,10.14,60.0,28.687160137609595,0.75,62.666666666666664,0,0,1
283.0,Milagro Tequila Reposado SBR,750mL,1.0,3664.0,35,170.0,142.0,26.0,460.0,1389.74,357.80000000000007,39.69,59.27571428571429,60.0,25.745822959690308,0.43333333333333335,327.6923076923077,0,1,1
284.0,Milagro Tequila Anejo SBR,750mL,1.0,3664.0,36,149.0,183.0,30.0,461.0,2439.7,836.8,53.43,79.43444444444444,60.0,34.29929909415092,0.5,366.0,0,1,1
285.0,Red Stag VAP 750+4/50ml,750mL + 4/,,,1,30.0,6.0,0.0,0.0,0.0,0.0,12.49,18.99,60.0,,0.0,,0,1,0
290.0,Aberlour A'Bunadh Sngle Malt,750mL,1.0,17035.0,4,0.0,25.0,13.0,136.0,859.8699999999999,352.21999999999997,39.05,72.49,60.0,40.96200588461046,0.21666666666666667,115.38461538461539,0,0,1
294.0,Old Mexico Gold Tequila,Liter,1.0,9552.0,6,134.0,171.0,402.0,3448.0,3412.98,683.3999999999997,6.79,8.49,60.0,20.023557126030617,6.7,25.52238805970149,0,0,1
298.0,Old Mexico Blanco Tequila,Liter,1.0,9552.0,1,13.0,6.0,11.0,73.0,93.39,26.730000000000004,6.06,8.49,60.0,28.621908127208485,0.18333333333333332,32.72727272727273,0,0,1
304.0,Ciroc Red Berry Vodka,Liter,1.0,3960.0,1,11.0,12.0,4.0,5.0,135.96,38.16000000000001,24.45,33.99,60.0,28.06707855251545,0.06666666666666667,180.0,0,0,1
305.0,Crown Royal Canadian Whisky,Liter,1.0,3960.0,50,707.0,797.0,746.0,8811.0,20880.54,4311.879999999999,22.21,27.99,60.0,20.650232225794923,12.433333333333334,64.10187667560322,0,0,1
308.0,Barsol Primero Quebranta Pso,750mL,1.0,9165.0,5,10.0,4.0,15.0,47.0,299.85,65.55,15.62,19.99,60.0,21.860930465232613,0.25,16.0,0,0,1
311.0,The Glenlivet 12 Yr Gift Pk,750mL,1.0,17035.0,19,158.0,12.0,61.0,243.0,2620.3900000000003,619.5900000000003,32.8,43.58453441295547,60.0,23.644953613775055,1.0166666666666666,11.80327868852459,1,0,1
313.0,Rothman & Winter Violette,750mL,1.0,653.0,4,9.0,1.0,13.0,27.0,285.87,59.01999999999999,17.45,21.99,60.0,20.645748067303316,0.21666666666666667,4.615384615384615,1,0,1
315.0,Travis Hasse's Apple Pie Liq,750mL,,,1,6.0,0.0,0.0,0.0,0.0,0.0,11.76,15.99,60.0,,0.0,,0,0,0
317.0,Triple Eight Vodka,750mL,1.0,4425.0,1,0.0,0.0,1.0,2.0,31.99,7.759999999999998,24.23,31.99,60.0,24.257580493904342,0.016666666666666666,0.0,1,0,1
319.0,Peter Paul Bacigalupi Chard,750mL,1.0,10754.0,1,10.0,0.0,2.0,96.0,69.98,19.64,25.17,34.99,60.0,28.065161474707057,0.03333333333333333,0.0,1,0,1
323.0,Tequila Rose Strawberry Gift,750mL,1.0,5992.0,8,41.0,7.0,21.0,54.0,299.78999999999996,77.19000000000001,10.6,14.27125,60.0,25.74802361653158,0.35,20.0,0,0,1
327.0,Capt Morgan Spiced Rum 100,Liter,,,3,12.0,6.0,0.0,0.0,0.0,0.0,16.42,22.99,60.0,,0.0,,0,1,0
330.0,Finlandia Raspberry Vodka,750mL,1.0,1128.0,1,1.0,0.0,1.0,0.0,16.99,3.3999999999999986,13.59,16.99,60.0,20.011771630370802,0.016666666666666666,0.0,1,0,1
336.0,Bols Genever Amsterdam,750mL,1.0,6213.0,1,0.0,0.0,1.0,2.0,32.99,6.600000000000001,26.39,32.99,60.0,20.0060624431646,0.016666666666666666,0.0,1,0,1
338.0,The Irishman Irish Whiskey,750mL,1.0,4425.0,1,16.0,0.0,1.0,0.0,23.49,5.279999999999998,18.21,23.49,60.0,22.477650063856952,0.016666666666666666,0.0,1,0,1
344.0,Punt e Mes Sweet Vermouth,750mL,1.0,9165.0,19,145.0,157.0,57.0,745.0,1139.4299999999998,242.24999999999986,15.74,19.99,60.0,21.26063031515757,0.95,165.26315789473685,0,0,1
350.0,Courvoisier VS 2 Glass Pack,750mL,1.0,12546.0,11,58.0,12.0,27.0,113.0,620.7299999999999,132.02999999999994,18.1,23.171818181818182,60.0,21.27011744236624,0.45,26.666666666666664,0,0,1
353.0,Fernet Branca Sambuca,750mL,,,1,6.0,0.0,0.0,0.0,0.0,0.0,19.84,25.99,60.0,,0.0,,0,0,0
354.0,Capt Morgan Lime Bite Rum,Liter,1.0,3960.0,2,17.0,3.0,3.0,15.0,58.47,15.779999999999994,14.23,19.49,60.0,26.988199076449455,0.05,60.0,0,0,1
356.0,Carolans Irish Cr Gift Set,750mL,1.0,11567.0,49,195.0,33.0,52.0,367.0,671.48,197.24000000000004,9.12,13.28348882410107,60.0,29.37392029546674,0.8666666666666667,38.07692307692307,0,0,1
361.0,Effen Cucumber Vodka,750mL,1.0,12546.0,77,618.0,757.0,202.0,6422.0,4867.98,1983.4199999999998,14.28,22.974410430839,60.0,40.74421012411719,3.3666666666666667,224.85148514851485,0,1,1
363.0,4 Orange Vodka,Liter,1.0,9552.0,3,18.0,0.0,8.0,4.0,175.92000000000002,39.519999999999996,17.05,21.99,60.0,22.464756707594358,0.13333333333333333,0.0,1,0,1
364.0,Ciroc Peach Vodka,200mL,1.0,3960.0,1,232.0,168.0,5.0,0.0,39.95,10.800000000000004,5.83,7.99,60.0,27.033792240300386,0.08333333333333333,2016.0,0,1,1
366.0,Crown Royal w/2 Glasses,750mL,1.0,3960.0,56,124.0,0.0,93.0,9.0,2047.07,449.32999999999987,17.18,24.351111111111113,60.0,21.94990889417557,1.55,0.0,1,0,1
368.0,The Macallan 25 Yr Old,750mL,,,4,5.0,5.0,0.0,13.0,0.0,0.0,1015.62,1299.99,60.0,,0.0,,0,1,0
369.0,Svedka Grape Vodka,Liter,1.0,1392.0,5,37.0,7.0,3.0,0.0,38.97,8.28,10.23,12.99,60.0,21.247113163972287,0.05,140.0,0,0,1
370.0,Finlandia Vodka,Liter,1.0,1128.0,2,16.0,16.0,21.0,228.0,293.79,76.23000000000006,10.36,13.99,60.0,25.947105075053628,0.35,45.714285714285715,0,0,1
372.0,44* North Magic Valley Vodka,750mL,1.0,3950.0,4,24.0,0.0,6.0,0.0,134.94,31.139999999999986,17.3,22.49,60.0,23.076923076923066,0.1,0.0,1,0,1
373.0,Fernet Branca Borgetti Cafe,750mL,,,1,5.0,8.0,0.0,5.0,0.0,0.0,15.03,19.99,60.0,,0.0,,0,1,0
376.0,Aperol Liqueur,750mL,1.0,11567.0,55,398.0,497.0,155.0,4165.0,4493.45,1553.1,18.97,28.299090909090907,60.0,34.56364263539151,2.5833333333333335,192.38709677419354,0,1,1
377.0,Hendrick's Gin,Liter,1.0,3664.0,2,11.0,16.0,12.0,215.0,455.88,115.67999999999999,28.35,37.99,60.0,25.37509871018689,0.2,80.0,0,0,1
381.0,Baileys Irish Cream w/4 Glss,750mL,1.0,3960.0,56,140.0,777.0,130.0,10125.0,2588.7,703.6999999999998,14.5,20.94267857142857,60.0,27.183528411944213,2.1666666666666665,358.61538461538464,0,1,1
382.0,McCormick Irish Cream Liquer,Liter,,,2,10.0,11.0,0.0,48.0,0.0,0.0,7.77,10.49,60.0,,0.0,,0,1,0
384.0,Ardbeg Corryvreckan Scotch,750mL,1.0,8112.0,36,301.0,224.0,50.0,466.0,3719.5,985.4999999999999,54.68,74.48074074074073,60.0,26.49549670654658,0.8333333333333334,268.8,0,1,1
388.0,Smirnoff 80 Proof,Liter,1.0,3960.0,49,1375.0,1472.0,739.0,9041.0,10708.11,2276.1199999999994,11.41,14.49,60.0,21.25603864734299,12.316666666666666,119.5128552097429,0,0,1
397.0,S S Pierce Ninety Nine Rum,Liter,,,1,4.0,0.0,0.0,0.0,0.0,0.0,5.9,7.49,60.0,,0.0,,0,0,0
398.0,S S Pierce Ninety Nine Gin,Liter,,,1,9.0,0.0,0.0,0.0,0.0,0.0,5.63,7.49,60.0,,0.0,,0,0,0
399.0,S S Pierce 99 Vodka 80 Proof,Liter,1.0,9552.0,1,15.0,0.0,12.0,12.0,75.48,18.72,4.73,6.29,60.0,24.801271860095387,0.2,0.0,1,0,1
401.0,S S Pierce Ninety Nine Bl W,Liter,1.0,9552.0,2,9.0,0.0,6.0,0.0,44.94,9.539999999999992,5.9,7.49,60.0,21.228304405874482,0.1,0.0,1,0,1
403.0,Kahlua Midnight,Liter,1.0,17035.0,2,12.0,0.0,12.0,0.0,287.88,80.75999999999999,17.26,23.99,60.0,28.053355564818673,0.2,0.0,1,0,1
405.0,Jack Daniels & Coke,1.75L,1.0,1128.0,19,3.0,0.0,3.0,1524.0,125.97,40.620000000000005,28.45,37.253157894736844,60.0,32.245772803048354,0.05,0.0,1,0,1
407.0,Hancock Rsv Bourbon,750mL,1.0,8004.0,1,0.0,1.0,1.0,18.0,49.99,10.630000000000003,39.36,49.99,60.0,21.264252850570116,0.016666666666666666,60.0,0,0,1
